name,:LABEL
黄飞,Person,3
高铁,Person,4
齐俊杰,Person,5
图秀秀和美,Person,6
Faceu,Person,6
小潘,Person,7
彼得�纳瓦罗,Person,9
高攀,Person,9
欧文,Person,9
贾森,Person,9
格林布拉特,Person,9
特朗普,Person,9
郑启航,Person,9
许嵩,Person,11
徐良,Person,11
马晓晨,Person,11
尹天仇,Person,12
张柏芝,Person,12
周星驰,Person,12
阿里巴巴,Person,13
李彦宏,Person,13
谷歌,Person,13
丁道,Person,13
Facebook,Person,13
马云,Person,13
杨艺,Person,14
布什,Person,14
龚文佳,Person,14
白洁,Person,14
特朗普,Person,14
奥巴马,Person,14
周玉鹏,Person,14
周柳军,Person,15
罗森,Person,16
大帝,Person,16
乔尔-恩比德,Person,16
德马库斯,Person,16
恩比德,Person,16
考辛斯,Person,16
õÎƒGØ,Person,17
ÇNKœF,Person,17
王菲,Person,18
陈家瑛,Person,18
杨幂,Person,20
柳岩,Person,20
郑爽,Person,20
佟丽娅,Person,20
姚笛佟丽娅,Person,20
范冰冰,Person,23
章子怡,Person,23
王冠楠,Person,24
高鑫戈,Person,24
周文龙,Person,24
李龙,Person,24
田厚威,Person,24
林丹,Person,24
谌龙,Person,24
特维斯,Person,26
李莉,Person,27
徐娜,Person,27
杨浩涌,Person,29
Millward Brown(华,Person,29
张功成,Person,30
纳维亚,Person,30
沃尔沃,Person,30
张磊,Person,31
陈欣,Person,31
张瑞明,Person,31
白鑫,Person,31
常健,Person,31
倪鹏飞,Person,34
潘赫,Person,35
潘赫先,Person,35
王培娜,Person,35
于淼,Person,35
法里,Person,35
张立群,Person,36
石勇,Person,37
左晓栋,Person,37
王安耕,Person,37
倪光南,Person,37
蒋明炜,Person,37
苗圩,Person,37
朱森第,Person,37
吴澄,Person,37
卢秉恒,Person,37
余晓晖,Person,37
杨春立,Person,37
杨奕,Person,38
葛金鑫,Person,39
王忠岩,Person,39
王志伟,Person,39
何斌,Person,40
谈民强,Person,41
施志军,Person,44
阿里,Person,44
李泽隆,Person,45
小龙,Person,45
张小龙,Person,45
黄天晴,Person,45
刘兴亮,Person,45
潘多拉,Person,45
雷茂锋,Person,45
许达来,Person,47
雷军,Person,47
肖永强,Person,47
王猛,Person,48
邢宝君,Person,48
洪杰,Person,48
黄进,Person,48
许达来,Person,49
雷军,Person,49
肖永强,Person,49
单军国,Person,50
王桐,Person,50
曹保明,Person,50
努沙杜瓦,Person,51
碧桂园,Person,51
夏普,Person,52
杨伟东,Person,52
阿里,Person,52
阿里巴巴,Person,52
李捷,Person,52
陈刚,Person,53
李伟一,Person,53
蔡奇,Person,53
郑海燕,Person,54
买买提,Person,54
买买提热依木·买买提吐尔逊,Person,54
周彬,Person,54
向红伟,Person,54
王辉,Person,55
王石浩,Person,55
李安,Person,57
阿里博纳,Person,57
蓝海,Person,58
宋清辉,Person,58
曹昀,Person,58
万福生,Person,58
刘开森,Person,58
卢建之,Person,58
宗庆后,Person,60
董明珠,Person,60
李东生,Person,60
马云,Person,60
泰勒,Person,64
怀德曼,Person,64
基尼,Person,65
陈桂榕,Person,65
Hot Israeli Army,Person,65
朱盈库,Person,65
高晓松,Person,66
齐少恒,Person,67
雷锋,Person,67
黄晓明,Person,69
富士康,Person,70
郭台铭,Person,70
